DATE,SYMBOL,PRICE_USD,CEX_TRADING_VOLUME_24H_USD,CIRCULATING_TOKENS
01/02/2026,AAVE,149.018207757,123693007,15180458
01/02/2026,ADA,0.3556167507,538539764,36669617499
01/02/2026,BNB,863.466983785,1000891837,137734533
01/02/2026,BTC,88746.962738451,22084887614,19970256
01/02/2026,ETH,3003.774490255,10761499467,120694903
01/02/2026,NEAR,1.625283829,150363530,1284045865
01/02/2026,SOL,126.62182515,2698271700,563155765
01/02/2026,XRP,1.87618518,1369013706,60676393849
01/02/2026,ZEC,526.721319289,462931222,16473644
01/01/2026,AAVE,146.235508145,177752494,15178274
01/01/2026,ADA,0.3335532039,608249974,36669617499
01/01/2026,BNB,865.217035956,1903921736,137734573
01/01/2026,BTC,87681.453864161,37182145763,19969790
01/01/2026,ETH,2975.595865824,16574697282,120694903
01/01/2026,NEAR,1.516634679,118921800,1283940383
01/01/2026,SOL,124.969732658,3799873434,563032770
01/01/2026,XRP,1.843083326,1939800455,60676393849
01/01/2026,ZEC,510.320569121,851934081,16471335
12/31/2025,AAVE,148.672900376,161840576,15178238
12/31/2025,ADA,0.3503666848,472856899,36669617499
12/31/2025,BNB,858.346319644,1435327038,137734622
12/31/2025,BTC,88152.625535201,39784383449,19969387
12/31/2025,ETH,2961.861771074,19230261651,120694917
12/31/2025,NEAR,1.508820115,101588504,1283861248
12/31/2025,SOL,124.775041682,3461434451,562902036
12/31/2025,XRP,1.872076611,1760692567,60676393849
12/31/2025,ZEC,528.615285504,386910120,16470033
12/30/2025,AAVE,149.801535115,225390845,15196394
12/30/2025,ADA,0.3535674389,703985022,36662807451
12/30/2025,BNB,850.373144313,1595316588,137734665
12/30/2025,BTC,87123.936008255,52962635202,19969009
12/30/2025,ETH,2933.420142014,27386102814,120694931
12/30/2025,NEAR,1.520448927,145086683,1283781604
12/30/2025,SOL,122.908324752,4826193490,562779812
12/30/2025,XRP,1.848649898,2197808813,60572944636
12/30/2025,ZEC,538.557610358,993247939,16468494
12/29/2025,AAVE,154.446565073,197542042,15196079
12/29/2025,ADA,0.3717133422,528658102,36662807451
12/29/2025,BNB,861.783126801,1259153249,137734709
12/29/2025,BTC,88209.536774351,18325245322,19968521
12/29/2025,ETH,2964.984137798,11187582391,120694947
12/29/2025,NEAR,1.599534203,107416289,1283704132
12/29/2025,SOL,126.999913181,2617713236,562780473
12/29/2025,XRP,1.872240875,1007167832,60572944636
12/29/2025,ZEC,535.209295931,647684656,16465622
12/28/2025,AAVE,154.505500083,321763678,15194459
12/28/2025,ADA,0.3506946518,516500755,36662807451
12/28/2025,BNB,835.092557699,1048738502,137734775
12/28/2025,BTC,87333.145497674,45644472256,19967618
12/28/2025,ETH,2925.86051663,18143186740,120694972
12/28/2025,NEAR,1.51452648,162634418,1283521648
12/28/2025,SOL,121.993103193,4035552151,562657758
12/28/2025,XRP,1.844046303,2063448142,60572944636
12/28/2025,ZEC,445.897816823,481731438,16461452
12/27/2025,AAVE,154.505500083,321763678,15194459
12/27/2025,ADA,0.3506946518,516500755,36662807451
12/27/2025,BNB,835.092557699,1048738502,137734775
12/27/2025,BTC,87333.145497674,45644472256,19967618
12/27/2025,ETH,2925.86051663,18143186740,120694972
12/27/2025,NEAR,1.51452648,162634418,1283521648
12/27/2025,SOL,121.993103193,4035552151,562657758
12/27/2025,XRP,1.844046303,2063448142,60572944636
12/27/2025,ZEC,445.897816823,481731438,16461452
12/26/2025,AAVE,149.207434349,300260371,15194077
12/26/2025,ADA,0.3425977197,544341525,36662807451
12/26/2025,BNB,829.564493866,745413167,137734811
